"sub","alpha_mean_SL00_multiVar_LKJ","alpha_median_SL00_multiVar_LKJ","beta_mean_SL00_multiVar_LKJ","beta_median_SL00_multiVar_LKJ","soc_mean_SL00_multiVar_LKJ","soc_median_SL00_multiVar_LKJ","theta_mean_SL00_multiVar_LKJ","theta_median_SL00_multiVar_LKJ","log_lik_SL00_multiVar_LKJ","waic_SL00_multiVar_LKJ"
61,0.158465479160667,0.06490465,8.04491755333333,5.27848,0.0309667904241485,0.0146756,1.55968395480883,1.555915,-9.39566566666667,19.9921965123283
62,0.885673974524103,0.9411965,0.956298512966667,0.691691,0.100082205514164,0.0456429,0.915457464656333,0.637135,-43.3323619166667,90.406911847432
63,0.053828438244,0.04654435,9.63895851666667,7.247995,0.114093005306274,0.08727375,1.81599988079833,1.799855,-17.7768849333333,37.0497259973845
64,0.150455519062333,0.06982285,7.55449432833333,5.200975,0.020610272187788,0.0107599,1.156250094767,1.133015,-10.0004005966667,21.0112049675278
65,0.0591020271891333,0.002516095,8.23374349638333,4.626835,0.173567077835918,0.05815075,-0.0484701263635,-0.1849365,-48.9716830333333,99.0401782686029
66,0.8352580592305,0.843663,1.80538248466667,1.62113,0.241984876842013,0.215666,2.01207849470383,1.59296,-35.8367397333333,73.6712268108894
67,0.197411144143333,0.10377,8.11481016333333,5.86015,0.152315890778742,0.1092705,2.74441697278167,2.65493,-8.85365708666667,19.1487776718509
68,0.860725967957333,0.936196,1.11691190016667,0.865593,0.0802022969533234,0.0322385,0.923671616822167,0.783036,-41.5820866,87.2377170756189
69,0.457349112745903,0.4756475,5.5395199064,3.28165,0.886727664166667,0.9101385,4.33304444766667,4.126535,-18.10794515,38.2251222408007
70,0.7657289787558,0.876756,3.37460755016667,2.23507,0.4563052028604,0.456519,2.38675157633317,2.17557,-41.8894901333333,89.8261627070546
71,0.111140324231313,0.02417915,6.20091525783333,3.65889,0.183130676384533,0.1221895,1.3426392451265,1.316325,-25.3255713833333,51.1863023218837
72,0.0708974788003563,0.00589324,6.81459471921667,3.934755,0.374658422951179,0.2867675,-0.231902758445,-0.527063,-45.6382252833333,92.93263677672
73,0.336827241624167,0.2210345,4.56297972183333,3.092255,0.224666748420973,0.1986955,1.715109651436,1.58491,-21.5598219,44.4982973524138
74,0.200930667057868,0.0602762,4.255336856,1.925905,0.144002739097681,0.0638206,0.806604693884683,0.6274965,-47.0980720666667,95.2183263959315
75,0.19186786793307,0.03546275,5.0334665225,2.43191,0.847286327211367,0.891026,-1.71729700395,-1.635775,-29.4786858666667,61.5440258826584
76,0.03565159451781,0.0136914,7.90588615016667,5.117985,0.0805153309710453,0.0326266,0.778555353158667,0.6909925,-41.94307425,85.4481118703308
77,0.233969458024,0.1105225,8.40752473166667,5.83905,0.020501585896876,0.01120185,1.76275590336167,1.73972,-6.72315489666667,14.2769666131142
78,0.648152742605,0.676362,2.55954190183333,2.37136,0.110447965857167,0.07378965,2.09320092778118,1.982175,-22.0350783666667,45.3748938598766
79,0.542310959098333,0.695995,8.87055823166667,6.491725,0.0579824361131283,0.03232265,2.7954156286055,2.73443,-10.3873136333333,23.2566446297105
80,0.013214264121,0.01139575,15.8186854016667,11.6605,0.0247095193212578,0.01139905,1.644011423873,1.66979,-24.75463705,51.200808453417
81,0.605157098833333,0.6031325,2.5148896515,2.43739,0.0718121750979125,0.038002,1.861630635806,1.825725,-24.1020638666667,49.7567341331396
82,0.797961045603667,0.8379635,1.79424919116667,1.454705,0.166895159421957,0.106768,0.0066826957995,-0.377385,-38.2703439,80.3422894450997
83,0.190447358022833,0.06201135,8.49993369,5.998285,0.036778206952132,0.01656325,2.08618929064167,2.067525,-8.54886084333333,18.256535210986
84,0.0384270670854333,0.0262894,6.68820603833333,4.33,0.0812493865416233,0.03342005,0.872169833326167,0.7472325,-26.2858243,53.8593623113633
85,0.442859655033333,0.4212465,2.95916089333333,2.80257,0.0363655031425598,0.0182637,1.06195123191967,0.9692005,-21.0054022333333,43.7113813995037
86,0.588216524940083,0.6241145,4.13794650516667,3.35602,0.284683657160853,0.241884,2.04130166019767,1.895775,-18.349055,38.8712797254757
87,0.095379938818,0.0444044,6.86291356833333,4.71566,0.0731178223671413,0.03690095,1.41439515585458,1.376495,-18.2269776833333,37.641265709098
88,0.127027689612334,0.004627725,6.8522254641,3.674185,0.191001639220184,0.0693079,0.499071281751475,0.1155835,-48.8580285666667,98.6885946609971
89,0.0648071528418451,0.006752675,7.45577120465,4.491595,0.291779089114286,0.2323945,1.55906268143783,1.379005,-26.8571507,54.6960599366464
