date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,riskDistributionId,groupSize,room,confirmationID,subjectNumber,round,choice,payoff,totalEarning,socialFreq_safe,socialFreq_risky,behaviouralType,timeElapsed,latency,socialInfo_00,socialInfo_01,socialInfo_02,socialInfo_03,socialInfo_04,socialInfo_05,socialInfo_06,socialInfo_07,socialInfo_08,socialInfo_09,socialInfo_10,socialInfo_11,publicInfo_00,publicInfo_01,publicInfo_02,publicInfo_03,publicInfo_04,publicInfo_05,publicInfo_06,publicInfo_07,publicInfo_08,publicInfo_09,publicInfo_10,publicInfo_11
2020-8-20,10:4:53,5c39a38b48ad2900017f3dfd,binary,false,1,6,6,08200953_session_200,zadClLw6mn6mDltWAACD,2,22,risky,564,2578,1,5,choice,15080,0,risky,risky,risky,risky,sure,risky,,,,,,,56,47,552,54,150,558,,,,,,
2020-8-20,10:4:50,5ecf408d36fa30376aeeab1b,binary,false,1,6,6,08200953_session_200,NrhGPw2vqZpQdR5EAABu,1,22,sure,150,2761,1,5,choice,12206,0,risky,risky,risky,risky,sure,risky,,,,,,,56,47,552,54,150,558,,,,,,
2020-8-20,10:4:48,5f1d9627f89919000a375c6f,binary,false,1,6,6,08200953_session_200,vPYu8tPJMq7DwzCjAACL,4,22,sure,155,4706,1,5,choice,10709,0,risky,risky,risky,risky,sure,risky,,,,,,,56,47,552,54,150,558,,,,,,
2020-8-20,10:4:53,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,3,sure,145,338,1,0,choice,15403,0,sure,,,,,,,,,,,,146,,,,,,,,,,,
2020-8-20,10:4:55,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,4,risky,48,895,0,1,choice,17313,0,risky,,,,,,,,,,,,552,,,,,,,,,,,
2020-8-20,10:4:56,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,4,sure,139,477,1,0,choice,18037,0,sure,,,,,,,,,,,,145,,,,,,,,,,,
2020-8-20,10:4:58,5ecf408d36fa30376aeeab1b,binary,false,1,6,6,08200953_session_200,NrhGPw2vqZpQdR5EAABu,1,23,sure,140,2901,3,3,choice,20041,0,sure,risky,sure,sure,risky,risky,,,,,,,155,46,150,150,544,564,,,,,,
2020-8-20,10:4:59,5c39a38b48ad2900017f3dfd,binary,false,1,6,6,08200953_session_200,zadClLw6mn6mDltWAACD,2,23,risky,51,2629,3,3,choice,20876,0,sure,risky,sure,sure,risky,risky,,,,,,,155,46,150,150,544,564,,,,,,
2020-8-20,10:4:58,5da9bc8ef91d670014c12a9c,binary,false,1,6,6,08200953_session_200,xyz8cRIT746AlDQ5AACG,3,23,risky,53,4263,3,3,choice,20736,0,sure,risky,sure,sure,risky,risky,,,,,,,155,46,150,150,544,564,,,,,,
2020-8-20,10:4:57,58a9dcd132c2cc0001cd2a62,binary,false,1,6,6,08200953_session_200,VTEgkcP5U6FLAyOHAACN,8,23,sure,148,3345,3,3,choice,19301,0,sure,risky,sure,sure,risky,risky,,,,,,,155,46,150,150,544,564,,,,,,
2020-8-20,10:4:56,5e57e14bbb69b3197fcf242b,binary,false,1,6,6,08200953_session_200,wSAZWMgEh3Pg273pAACM,7,23,risky,51,4097,3,3,choice,17984,0,sure,risky,sure,sure,risky,risky,,,,,,,155,46,150,150,544,564,,,,,,
2020-8-20,10:4:56,5f1d9627f89919000a375c6f,binary,false,1,6,6,08200953_session_200,vPYu8tPJMq7DwzCjAACL,4,23,sure,147,4853,3,3,choice,18628,0,sure,risky,sure,sure,risky,risky,,,,,,,155,46,150,150,544,564,,,,,,
2020-8-20,10:4:59,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,5,risky,53,530,1,0,choice,20893,0,sure,,,,,,,,,,,,139,,,,,,,,,,,
2020-8-20,10:4:59,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,5,risky,48,943,0,1,choice,21099,0,risky,,,,,,,,,,,,48,,,,,,,,,,,
